,Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
108,117,female,group D,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80,77
109,118,female,group D,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64,63
110,119,female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69,65
111,120,female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90,86
112,121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87,90
115,124,male,group E,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79,73
116,125,female,group B,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94,85
119,128,male,group D,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81,72
121,130,male,group D,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84,82
122,131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36,40
125,134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80,76
127,136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54,41
128,137,male,group E,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54,54
130,139,male,group D,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61,70
131,140,female,group D,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72,71
132,141,female,group C,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10,60,62,65
134,143,male,group A,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,57,43,47
135,144,male,group D,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,90,74,79
136,145,female,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,21,38,33
137,148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,65,73,79
138,149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,5 - 10,100,100,95
139,150,male,group A,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67,69
140,152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,57,68,64
143,155,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,69,88,88
144,156,female,group E,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,67,75,79
147,159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10,70,63,66
148,160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,82,78,74
149,161,female,group E,some college,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,88,85
150,162,male,group B,master's degree,free/reduced,none,single,never,no,2.0,school_bus,5 - 10,48,53,52
151,163,male,group C,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,52,53,49
152,164,female,group E,master's degree,standard,none,married,never,yes,3.0,private,< 5,76,89,86
153,165,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,96,100,100
154,166,male,group C,high school,free/reduced,completed,single,sometimes,yes,5.0,private,5 - 10,53,51,51
155,167,female,group B,master's degree,free/reduced,completed,married,regularly,no,1.0,private,> 10,62,79,83
156,168,female,group B,high school,standard,completed,married,regularly,yes,2.0,private,5 - 10,70,84,79
157,170,male,group A,high school,standard,completed,divorced,regularly,yes,5.0,school_bus,> 10,76,75,77
158,171,male,group E,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5,91,86,76
159,172,female,group D,some college,standard,none,single,never,yes,3.0,school_bus,5 - 10,76,84,78
160,173,female,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,67,70
161,174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,41,50,52
162,175,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,81,92,89
163,176,female,group B,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,44,53,56
165,178,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,54,72,65
166,179,female,group D,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,99,100,100
167,180,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2.0,private,< 5,60,68,75
168,181,female,group C,some college,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,46,64,66
171,185,male,group C,associate's degree,free/reduced,completed,married,never,yes,5.0,private,< 5,61,65,62
172,186,male,group E,high school,standard,none,married,never,yes,1.0,school_bus,< 5,75,73,62
173,187,male,group D,some high school,standard,completed,married,sometimes,no,4.0,private,5 - 10,62,66,68
174,188,male,group B,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,47,51,45
175,189,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,74,86,85
176,190,female,group E,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,66,65,69
177,191,male,group D,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5,73,81,77
181,195,male,group D,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5,60,54,52
186,200,female,group C,associate's degree,standard,completed,single,regularly,no,1.0,private,< 5,66,83,86
187,201,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,63,79,75
188,202,male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,77,69
192,206,male,group E,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,84,62,63
193,207,male,group E,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,83,81,77
194,208,female,group B,some college,free/reduced,none,married,regularly,yes,1.0,private,< 5,73,80,76
196,210,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,< 5,77,77,77
198,212,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,42,62,60
199,213,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10,61,51,57
202,216,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5,80,84,86
204,218,male,group B,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,64,75,68
206,220,female,group D,high school,standard,completed,widowed,regularly,yes,4.0,school_bus,5 - 10,57,69,75
207,221,male,group B,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,89,86,74
209,223,male,group D,some high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,88,81,76
212,226,female,group C,some college,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,72,71
213,227,male,group D,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,58,50,55
215,229,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,> 10,93,97,98
218,232,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,67,86,83
219,233,male,group E,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,> 10,94,88,79
220,234,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3.0,school_bus,> 10,85,83,85
221,235,male,group D,associate's degree,standard,none,married,regularly,no,1.0,school_bus,> 10,84,77,80
222,236,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,< 5,62,65,67
224,238,male,group B,some college,standard,none,married,regularly,yes,2.0,private,> 10,57,53,53
227,241,female,group E,bachelor's degree,standard,none,single,regularly,no,4.0,private,5 - 10,82,84,85
229,244,male,group D,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,74,73,69
230,245,male,group C,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5,82,74,69
232,247,female,group B,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,58,70,68
233,248,female,group B,high school,standard,none,married,sometimes,yes,2.0,private,< 5,63,63,60
235,250,male,group A,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,47,49,49
237,252,female,group B,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10,60,70,70
239,254,male,group D,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,54,52,52
240,255,female,group E,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,62,73,70
241,256,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5.0,private,< 5,62,71,66
243,260,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,65,80,78
244,261,male,group C,some college,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,79,79,78
245,262,female,group C,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,45,50,52
246,263,female,group E,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,99,93,90
247,264,male,group D,high school,standard,none,married,sometimes,no,2.0,private,5 - 10,76,73,68
248,265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41,40
250,267,female,group D,high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,71,73,78
251,268,female,group D,associate's degree,standard,completed,married,regularly,yes,5.0,school_bus,> 10,93,94,99
253,270,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,63,61
255,272,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,48,53,59
256,273,female,group D,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,65,70,71
258,275,male,group C,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,83,78,73
259,276,female,group C,some high school,standard,completed,married,sometimes,yes,3.0,private,< 5,82,90,91
261,278,female,group C,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,65,86,80
262,279,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2.0,school_bus,5 - 10,73,56,57
264,282,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,75,80,86
267,285,male,group B,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,78,80,79
268,286,male,group E,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,99,83,90
269,287,female,group B,some high school,standard,none,married,sometimes,no,1.0,school_bus,< 5,64,87,80
272,290,male,group C,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,76,70,68
273,291,male,group D,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,83,71,68
274,292,male,group C,some high school,standard,completed,married,never,yes,1.0,private,5 - 10,61,59,55
276,294,male,group D,high school,free/reduced,completed,single,regularly,yes,3.0,school_bus,5 - 10,80,78,82
277,295,male,group B,associate's degree,free/reduced,none,married,never,yes,1.0,school_bus,> 10,66,61,59
282,300,male,group A,some college,free/reduced,completed,married,never,yes,2.0,private,< 5,76,75,77
284,302,female,group C,associate's degree,standard,completed,single,never,yes,5.0,school_bus,> 10,66,83,80
285,303,male,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,82,77,65
286,304,female,group C,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,76,76,85
288,306,male,group E,some college,standard,completed,divorced,regularly,yes,5.0,private,5 - 10,100,88,83
290,308,female,group B,associate's degree,free/reduced,none,married,regularly,no,3.0,private,> 10,56,73,70
292,310,female,group B,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,73,76,80
293,311,male,group B,bachelor's degree,standard,none,married,never,yes,3.0,school_bus,< 5,62,58,54
295,313,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,> 10,70,68,70
296,315,male,group C,high school,standard,none,married,regularly,no,3.0,private,5 - 10,73,66,66
297,316,female,group D,master's degree,standard,completed,widowed,never,yes,3.0,private,5 - 10,74,80,88
298,317,male,group C,associate's degree,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,83,72,78
300,319,female,group D,associate's degree,free/reduced,none,single,regularly,no,1.0,school_bus,< 5,55,64,63
302,321,female,group E,high school,standard,none,married,never,no,3.0,private,> 10,74,85,78
303,322,female,group C,some college,standard,none,married,regularly,yes,2.0,private,< 5,70,80,80
304,323,female,group C,some high school,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,40,52,51
306,325,female,group C,some college,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,82,90,94
307,326,male,group C,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,61,61,62
308,327,male,group A,some college,free/reduced,none,married,regularly,yes,2.0,school_bus,> 10,29,23,19
309,328,male,group C,associate's degree,standard,completed,married,sometimes,yes,5.0,school_bus,5 - 10,82,75,77
310,329,female,group B,some high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,39,54,49
313,332,male,group E,associate's degree,standard,completed,married,never,no,3.0,school_bus,> 10,61,55,52
314,333,male,group B,associate's degree,standard,none,single,sometimes,yes,1.0,school_bus,5 - 10,90,78,81
319,338,female,group B,some high school,free/reduced,none,single,sometimes,no,3.0,school_bus,< 5,23,37,26
320,339,female,group D,some high school,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,35,55,60
321,340,male,group C,high school,free/reduced,none,married,regularly,yes,1.0,school_bus,> 10,61,62,54
324,343,male,group D,associate's degree,standard,completed,single,sometimes,yes,3.0,private,< 5,64,70,65
326,345,female,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,72,80,75
329,349,male,group E,associate's degree,standard,none,divorced,regularly,yes,2.0,private,> 10,92,76,79
330,350,female,group B,bachelor's degree,standard,none,married,sometimes,yes,0.0,private,5 - 10,52,65,69
332,352,female,group C,some college,standard,completed,married,sometimes,no,1.0,school_bus,< 5,61,76,78
333,353,female,group C,associate's degree,standard,none,married,regularly,no,1.0,private,< 5,45,57,57
335,355,female,group B,bachelor's degree,standard,none,single,regularly,no,3.0,school_bus,> 10,64,74,73
337,357,female,group C,some college,free/reduced,completed,married,sometimes,yes,1.0,private,< 5,40,65,67
338,359,female,group D,some college,standard,none,divorced,sometimes,no,1.0,private,< 5,77,88,87
339,360,female,group B,high school,standard,none,married,never,yes,1.0,school_bus,5 - 10,56,61,57
340,361,male,group B,some high school,standard,completed,single,regularly,yes,3.0,private,5 - 10,87,85,79
341,362,female,group C,some college,standard,none,single,regularly,no,2.0,private,5 - 10,53,58,59
342,363,female,group D,some high school,free/reduced,none,single,sometimes,no,3.0,school_bus,< 5,26,33,31
343,364,male,group C,some college,standard,none,divorced,regularly,yes,1.0,school_bus,5 - 10,60,60,59
344,365,male,group A,bachelor's degree,free/reduced,completed,married,regularly,no,2.0,private,> 10,51,59,62
347,368,female,group A,some high school,free/reduced,none,single,sometimes,yes,2.0,private,5 - 10,44,64,58
348,369,female,group D,some high school,standard,none,single,regularly,yes,5.0,school_bus,5 - 10,71,83,84
349,370,male,group E,some college,standard,none,married,regularly,yes,3.0,private,5 - 10,86,78,72
350,371,female,group C,some college,free/reduced,completed,single,sometimes,no,4.0,school_bus,5 - 10,45,73,70
351,372,male,group D,some high school,standard,none,single,sometimes,yes,0.0,private,> 10,76,75,73
352,373,female,group D,some college,standard,completed,married,sometimes,yes,1.0,private,> 10,84,98,97
354,376,female,group D,some high school,standard,none,single,sometimes,no,2.0,school_bus,> 10,82,91,83
356,378,female,group A,some high school,standard,none,single,sometimes,no,1.0,private,> 10,73,84,78
357,379,male,group A,bachelor's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,67,64,63
358,380,female,group B,associate's degree,standard,none,single,sometimes,yes,1.0,school_bus,5 - 10,80,86,83
359,381,male,group C,associate's degree,standard,completed,divorced,sometimes,yes,0.0,private,< 5,84,98,93
361,383,female,group E,some high school,free/reduced,none,divorced,regularly,yes,3.0,private,> 10,40,50,47
362,384,female,group A,some high school,free/reduced,none,divorced,never,no,5.0,private,5 - 10,35,41,40
363,385,female,group E,some college,standard,none,divorced,regularly,yes,2.0,private,5 - 10,69,77,76
364,386,female,group E,bachelor's degree,standard,none,single,sometimes,yes,0.0,school_bus,< 5,62,71,68
366,388,female,group D,high school,standard,none,single,sometimes,yes,3.0,private,5 - 10,62,64,64
367,389,male,group D,master's degree,standard,none,married,sometimes,no,1.0,school_bus,< 5,71,70,75
368,390,male,group E,some high school,free/reduced,completed,single,regularly,yes,0.0,private,5 - 10,75,68,60
369,391,female,group D,some college,standard,none,single,sometimes,no,3.0,private,< 5,74,66,75
370,392,male,group E,some college,standard,none,married,sometimes,yes,3.0,school_bus,> 10,78,68,68
371,393,male,group C,associate's degree,standard,completed,divorced,regularly,yes,4.0,private,> 10,60,55,58
373,396,female,group B,high school,free/reduced,none,married,never,no,5.0,school_bus,5 - 10,48,65,61
374,398,male,group B,some high school,standard,none,single,regularly,yes,0.0,school_bus,< 5,73,62,57
375,399,male,group D,some high school,standard,none,single,never,no,4.0,private,< 5,56,57,51
376,400,female,group C,some high school,standard,completed,married,regularly,yes,3.0,private,5 - 10,60,54,68
378,402,female,group A,some college,free/reduced,none,married,regularly,no,2.0,school_bus,> 10,51,66,57
379,403,female,group D,high school,standard,completed,single,sometimes,yes,4.0,private,5 - 10,88,99,100
380,404,female,group C,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,55,59,63
382,406,male,group B,associate's degree,standard,completed,married,regularly,no,3.0,school_bus,> 10,68,66,65
384,408,female,group D,high school,free/reduced,completed,divorced,sometimes,no,2.0,school_bus,5 - 10,52,57,56
385,409,male,group D,associate's degree,standard,completed,widowed,never,no,5.0,school_bus,> 10,86,83,84
390,415,male,group E,high school,standard,none,single,regularly,no,3.0,private,5 - 10,86,74,70
391,416,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,3.0,private,< 5,68,72,66
393,418,male,group D,some college,standard,none,married,regularly,no,4.0,private,5 - 10,70,59,63
394,419,male,group E,high school,free/reduced,completed,married,sometimes,no,3.0,private,5 - 10,57,56,54
396,422,female,group D,master's degree,free/reduced,completed,divorced,never,yes,0.0,private,> 10,47,59,68
400,426,male,group C,bachelor's degree,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,88,84,88
401,427,male,group C,some high school,free/reduced,none,single,regularly,yes,0.0,private,5 - 10,71,72,66
403,429,male,group C,some high school,free/reduced,none,married,sometimes,no,3.0,school_bus,> 10,70,63,55
406,432,male,group C,high school,standard,none,single,never,yes,4.0,school_bus,< 5,57,54,52
410,436,male,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,77,69,65
416,442,female,group A,some high school,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,59,73,69
418,444,male,group A,some high school,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,79,82,73
421,447,male,group C,high school,standard,completed,single,regularly,yes,2.0,school_bus,> 10,91,83,83
422,448,male,group B,high school,standard,none,widowed,regularly,yes,4.0,school_bus,5 - 10,48,46,43
424,450,female,group C,some college,free/reduced,completed,divorced,sometimes,yes,3.0,private,5 - 10,64,85,85
426,452,female,group C,associate's degree,free/reduced,none,married,regularly,no,1.0,school_bus,> 10,68,79,77
427,453,male,group C,some college,free/reduced,none,married,never,yes,3.0,private,> 10,64,57,48
429,455,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,37,56,47
430,456,female,group D,bachelor's degree,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,79,89,89
434,460,male,group C,bachelor's degree,free/reduced,none,married,regularly,no,1.0,private,< 5,52,57,55
435,461,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,54,54,45
436,462,female,group E,some college,standard,none,divorced,never,no,1.0,private,5 - 10,68,68,74
437,463,female,group C,some college,free/reduced,none,widowed,sometimes,yes,4.0,school_bus,5 - 10,77,90,91
440,466,female,group D,associate's degree,free/reduced,none,divorced,sometimes,no,1.0,school_bus,> 10,26,31,38
441,467,male,group A,high school,free/reduced,completed,married,regularly,no,7.0,school_bus,> 10,76,69,67
442,468,female,group A,high school,free/reduced,completed,single,regularly,yes,3.0,private,5 - 10,79,89,87
444,470,female,group C,associate's degree,standard,completed,divorced,sometimes,no,1.0,private,5 - 10,83,85,90
446,472,female,group C,associate's degree,standard,completed,married,sometimes,yes,4.0,school_bus,5 - 10,68,86,84
447,473,female,group D,some high school,standard,none,married,sometimes,no,5.0,private,> 10,57,66,60
450,476,male,group E,bachelor's degree,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,76,62,66
452,478,female,group D,master's degree,standard,none,single,never,yes,1.0,private,5 - 10,53,64,70
453,479,male,group E,associate's degree,standard,none,single,sometimes,yes,4.0,school_bus,> 10,78,72,68
454,480,male,group B,high school,standard,completed,married,sometimes,yes,1.0,private,5 - 10,73,71,68
457,483,male,group A,high school,standard,none,divorced,sometimes,yes,2.0,private,5 - 10,59,52,46
458,484,female,group B,associate's degree,standard,none,single,regularly,no,3.0,school_bus,< 5,48,51,54
